judge,v2_entries,mapped_entries,current_c2_gap,preview_sheet_gap,delta,mean_replaced_composite_delta,min_replaced_composite_delta,max_replaced_composite_delta
claude-opus-4.7,10,10,0.20000000000000195,0.7666666666666657,0.5666666666666638,0.8600000000000001,-0.7999999999999998,2.6000000000000005
gemini-3.1-pro,40,40,1.406666666666668,1.4066666666666663,-1.7763568394002505e-15,-0.2199999999999999,-1.1999999999999997,0.6000000000000005
gpt-5.5,10,10,0.7333333333333343,0.8066666666666658,0.07333333333333147,0.10000000000000009,-0.8000000000000007,1.200000000000001
