term,without_style_beta,with_style_beta,delta_after_style,with_style_boot_ci_low,with_style_boot_ci_high,bootstrap_n
predicted_author=claude-opus-4.7,2.076606577331642,2.1077737654665754,0.031167188134933355,0.6961053526253297,3.161229290938312,2000
predicted_author=gemini-3.1-pro,1.3862450487983877,1.4082854889453227,0.02204044014693496,0.18334648819932245,2.3466719975469457,2000
predicted_author=gpt-5.5,2.033204583233581,2.1088561383431528,0.07565155510957178,0.3713022682977772,2.663483995941172,2000
actual_author=claude-opus-4.7,2.4753570171848116,2.126815843329204,-0.3485411738556077,0.5156746540014959,3.733613079443782,2000
actual_author=gemini-3.1-pro,1.7877117217245742,1.777198986849708,-0.010512734874866148,0.8654852406687897,3.368311963764157,2000
actual_author=gpt-5.5,2.091871015598628,2.1142233386739275,0.02235232307529955,1.0378235761427577,4.217104725877454,2000
