judge_a,judge_b,n_cells,mean_signed_a_minus_b,mean_abs_difference,median_abs_difference,spearman_rho,pearson_r
claude-opus-4.7,gemini-3.1-pro,120,0.016666666666666687,0.46333333333333326,0.40000000000000036,0.8242204060533651,0.9519503374439238
claude-opus-4.7,gpt-5.5,120,2.960594732333751e-17,0.42999999999999994,0.399999999999999,0.8957495121099435,0.9609921680288211
claude-opus-4.7,kimi-k2.6,120,0.07000000000000012,0.5466666666666667,0.40000000000000036,0.9116655070987965,0.939731696493491
gemini-3.1-pro,gpt-5.5,120,-0.01666666666666666,0.32000000000000006,0.20000000000000018,0.9145160821513995,0.9751884730882937
gemini-3.1-pro,kimi-k2.6,120,0.053333333333333434,0.5333333333333333,0.40000000000000036,0.8416666717049965,0.9335685468052739
gpt-5.5,kimi-k2.6,120,0.0700000000000001,0.5299999999999999,0.40000000000000036,0.8798366179332943,0.9372516202217821
