subset,condition,N,c,a1,b1,a2,b2,c_prime,indirect1,indirect2,c_ci_lo,c_ci_hi,a1_ci_lo,a1_ci_hi,b1_ci_lo,b1_ci_hi,a2_ci_lo,a2_ci_hi,b2_ci_lo,b2_ci_hi,c_prime_ci_lo,c_prime_ci_hi,indirect1_ci_lo,indirect1_ci_hi,indirect2_ci_lo,indirect2_ci_hi
pooled,c1,480,0.003888888888891365,0.3888888888888889,0.44208935322378706,0.34025704994953576,-0.33794333416924754,-0.05304714654137822,0.1719236373648061,-0.11498760193453832,-0.14445833333333374,0.14556944444444497,0.30000000000000066,0.46666666666666706,0.10269070913492692,0.848276774443582,0.2828087008388883,0.3993725322637773,-0.7645405643661969,0.038200634370131055,-0.4027690574318792,0.2296619877127216,0.038500642432685805,0.35263036359227223,-0.26412041848559425,0.012571396633176597
pooled,c2,480,-0.15500000000000025,0.3888888888888889,0.41574461720198624,0.22036942662758105,-0.24798172958683967,-0.26203087068205166,0.16167846224521687,-0.05464759156316771,-0.31723611111111166,0.0033333333333331336,0.30000000000000043,0.46666666666666756,0.07954891955227868,0.8157418776273533,0.17450838034188657,0.26793915881601216,-0.7396627415087929,0.20315250627758327,-0.5858490211798257,0.010597073876928237,0.02739168964449896,0.33896505123139453,-0.16343357315516624,0.045576722101534205
pooled,c3,480,-0.06388888888888916,0.38888888888888934,0.3737098225371421,0.3402570499495358,-0.4711334702796893,-0.048914001812366964,0.1453315976533332,-0.1603064847298544,-0.1944722222222221,0.0644722222222228,0.3000000000000003,0.4666666666666672,0.02744145080688155,0.7897993405275149,0.2828087008388883,0.3993725322637774,-0.9541992521380539,-0.017055925871255397,-0.40346809738630435,0.24499472586707105,0.009633880301476223,0.32582603530180937,-0.32618243077437875,-0.005932685345123316
judge=claude-opus-4.7,c1,120,1.737777777777779,0.733333333333333,0.13591986707465142,0.5031061852435398,0.8033144892900054,1.2339507203321465,0.09967456918807766,0.404152488257557,1.473333333333332,2.0399999999999974,0.5555555555555551,0.9111111111111108,-0.36140581466492105,0.5096645204571345,0.4081554018028121,0.6033524767499034,-0.2746458784994005,1.6625606842763134,0.6748675953380732,1.9067551217850327,-0.2831638439245295,0.4197797323947666,-0.13667918967636872,0.9058522423155747
judge=claude-opus-4.7,c2,120,1.2022222222222223,0.7333333333333334,-0.4095178933706256,0.4311070820875088,1.609821453328591,0.8085299146009854,-0.3003131218051255,0.6940054294263617,0.7333333333333327,1.6978888888888886,0.5555555555555551,0.911111111111111,-1.9200673700021091,0.6732993173339639,0.3372025766313208,0.5361610912739416,0.40441326964585467,2.9965689102530093,-0.23769581954444893,2.1515073187281706,-1.5050298721691278,0.5532981706178199,0.1679399268710458,1.3289781761546822
judge=claude-opus-4.7,c3,120,1.4666666666666675,0.7333333333333334,0.32611717051590194,0.5031061852435403,0.5139615439693601,0.9689368432067031,0.23915259171166145,0.2585772317483049,1.146666666666666,1.8156666666666643,0.5555555555555551,0.911111111111111,-0.1770476841969538,0.6921652271142432,0.40815540180281207,0.6033524767499031,-0.6306032772221426,1.3504915644319158,0.4721887046297022,1.6530656590200927,-0.13704605680714368,0.5702299486936516,-0.3176224525262312,0.7345869240346343
judge=gemini-3.1-pro,c1,120,0.008888888888888462,-0.02222222222222225,-0.07820426548623713,0.22966523293960373,-0.006347218879070271,0.008608751824907349,0.0017378725663608273,-0.0014577355023803243,-0.03111111111111134,0.05333333333333278,-0.16666666666666657,0.10000000000000032,-0.14518300014372643,-0.004720888408789142,0.15186800004342588,0.304504398026079,-0.15507168237085325,0.1127134222623016,-0.041563590234050665,0.059795901898363535,-0.006854505742477173,0.018948732407281423,-0.03447613332811789,0.02929611806878225
judge=gemini-3.1-pro,c2,120,-0.01111111111110987,-0.022222222222221834,-0.04869729306153871,0.15568718091377698,0.07236694160407034,-0.023459878308833747,0.0010821620680341747,0.011266605129689633,-0.05555555555555508,0.03333333333333329,-0.1666666666666663,0.10000000000000034,-0.1235581319537216,0.06866569929812533,0.08296650363560479,0.23031862492225633,-0.09405135073451229,0.2403340405818878,-0.0761917533894275,0.022905226483532198,-0.005406645511698715,0.014485313442765763,-0.013694459470289334,0.04272342988290646
judge=gemini-3.1-pro,c3,120,0.008888888888888462,-0.02222222222222225,-0.0782042654862381,0.22966523293960373,-0.006347218879069701,0.008608751824907765,0.001737872566360849,-0.0014577355023801932,-0.03111111111111157,0.05333333333333264,-0.16666666666666669,0.10000000000000037,-0.14518300014372823,-0.004720888408789946,0.15186800004342577,0.30450439802607904,-0.15507168237085245,0.11271342226230553,-0.04156359023404988,0.059795901898361904,-0.006854505742476777,0.018948732407281413,-0.03447613332811799,0.029296118068782538
judge=gpt-5.5,c1,120,1.1244444444444437,0.7333333333333336,0.4455519142011719,0.23363072932569942,-2.1623484891399904,1.3028974286043553,0.32673807041419284,-0.5051910545741002,0.74661111111111,1.4911111111111124,0.5111111111111112,0.9111111111111106,0.1202397685245917,0.7628899352040591,0.17832994490135293,0.29314702549355137,-3.688597513271731,-1.0600489733806149,0.9584028350390374,1.8157722020647964,0.08579846817022807,0.6073053608261647,-0.915207803147788,-0.22540955039373783
judge=gpt-5.5,c2,120,1.1533333333333322,0.7333333333333327,0.5535092872543177,0.07476329011039903,-5.4091514571465735,1.1518324823219035,0.405906810653166,-0.4044059596417369,0.7977777777777765,1.5112222222222218,0.5111111111111112,0.9111111111111103,0.12217009931488404,1.0013290148022918,0.048038061798737576,0.10222588537649167,-7.563090935095835,-3.683940614347728,0.7050426444077982,1.657968170022949,0.0903659090481693,0.8068434318101493,-0.6464853310273799,-0.23303379638135094
