subset,condition,N,c,a,b,c_prime,indirect,c_ci_lo,c_ci_hi,a_ci_lo,a_ci_hi,b_ci_lo,b_ci_hi,c_prime_ci_lo,c_prime_ci_hi,indirect_ci_lo,indirect_ci_hi
pooled,c1,480,0.003888888888891365,0.34025704994953576,-0.3327436272373178,0.11710725388216739,-0.11321836499327775,-0.14445833333333374,0.14556944444444497,0.2828087008388883,0.3993725322637773,-0.6971737971306549,0.0108001455116782,-0.08395916918251504,0.3103672505813522,-0.2450609859217192,0.0039718733428429935
pooled,c2,480,-0.15500000000000025,0.22036942662758105,-0.22502198505192708,-0.10541203417550668,-0.049587965824493284,-0.31723611111111166,0.0033333333333331336,0.17450838034188657,0.26793915881601216,-0.7059372359673524,0.19071137978602606,-0.2894273082404273,0.08322861088262119,-0.1509652084593417,0.04268072320670623
pooled,c3,480,-0.06388888888888916,0.3402570499495358,-0.46673802048971824,0.094922013062227,-0.15881090195111752,-0.1944722222222221,0.0644722222222228,0.2828087008388883,0.3993725322637774,-0.8932092971008413,-0.05220246712750621,-0.12432799544243199,0.3011989285735899,-0.3064306505343103,-0.01722323074828113
judge=claude-opus-4.7,c1,120,1.737777777777779,0.5031061852435398,0.8036724285492136,1.3334452080649746,0.4043325697128062,1.473333333333332,2.0399999999999974,0.4081554018028121,0.6033524767499034,-0.27318879115546385,1.656611807039042,0.8352576962100848,1.9476225486735839,-0.13706434282783445,0.8996836759965233
judge=claude-opus-4.7,c2,120,1.2022222222222223,0.4311070820875088,1.5604690420580463,0.5294929668126858,0.6727292554095344,0.7333333333333327,1.6978888888888886,0.3372025766313208,0.5361610912739416,0.3990267527005912,2.913079742478411,-0.3396637856184557,1.2613956101075563,0.16717811657342924,1.270418087759103
judge=claude-opus-4.7,c3,120,1.4666666666666675,0.5031061852435403,0.514820359835957,1.207657359343894,0.25900930732277505,1.146666666666666,1.8156666666666643,0.40815540180281207,0.6033524767499031,-0.64196091054732,1.3592180330677908,0.7142688967340806,1.799269303366338,-0.3136741534059703,0.7412370126746053
judge=gemini-3.1-pro,c1,120,0.008888888888888462,0.22966523293960373,-0.013939101016169315,0.01209021577073542,-0.0032013268818471925,-0.03111111111111134,0.05333333333333278,0.15186800004342588,0.304504398026079,-0.16094857943144886,0.10897343381232183,-0.03979594925146552,0.07022465349192326,-0.03474515306822395,0.02794373208071157
judge=gemini-3.1-pro,c2,120,-0.01111111111110987,0.15568718091377698,0.06323370175385962,-0.020955787875912284,0.009844676764800959,-0.05555555555555508,0.03333333333333329,0.08296650363560479,0.23031862492225633,-0.1080403430260612,0.23577813970530526,-0.07343102567704692,0.026245912773208813,-0.015106793179426784,0.04265833244215816
judge=gemini-3.1-pro,c3,120,0.008888888888888462,0.22966523293960373,-0.013939101016170337,0.012090215770733591,-0.0032013268818474275,-0.03111111111111157,0.05333333333333264,0.15186800004342577,0.30450439802607904,-0.16094857943144783,0.10897343381232097,-0.03979594925146687,0.07022465349192275,-0.03474515306822399,0.027943732080711388
judge=gpt-5.5,c1,120,1.1244444444444437,0.23363072932569942,-2.1872821182726705,1.6354607609775496,-0.5110163165331048,0.74661111111111,1.4911111111111124,0.17832994490135293,0.29314702549355137,-3.6696242408766824,-1.0609678404820315,1.2414533446964489,2.1428554874887857,-0.9098410498334365,-0.22963862670156268
judge=gpt-5.5,c2,120,1.1533333333333322,0.07476329011039903,-5.361384003222174,1.5541680409594838,-0.4008347076261519,0.7977777777777765,1.5112222222222218,0.048038061798737576,0.10222588537649167,-7.520226014765733,-3.5756613933307917,1.1568706072935964,1.9759495837269225,-0.6415148131472739,-0.22812820572916784
judge=gpt-5.5,c3,120,1.1244444444444437,0.23363072932569925,-2.1872821182726723,1.6354607609775507,-0.5110163165331048,0.7466111111111097,1.491111111111111,0.17832994490135295,0.29314702549355165,-3.669624240876682,-1.0609678404820315,1.2414533446964484,2.1428554874887835,-0.9098410498334354,-0.22963862670156263
judge=kimi-k2.6,c1,120,-2.855555555555554,0.39462605228929976,-0.672862087545999,-2.590026646212143,-0.2655289093434148,-4.002444444444449,-1.8132777777777775,0.291301853856761,0.49975078835011955,-2.6097182184329806,1.0774901765168794,-3.898996120198878,-1.3437215251532566,-1.081287364954499,0.4270834192444645
judge=kimi-k2.6,c2,120,-2.9644444444444416,0.21992015339863955,-0.9862643066447279,-2.747545046835529,-0.21689939760891142,-4.102888888888886,-1.9220555555555556,0.1581884511763,0.2836617563472749,-2.4158908054681594,0.19045662688115836,-3.8811298039857447,-1.7347150976266017,-0.5126713825244766,0.050407873599517775
judge=kimi-k2.6,c3,120,-2.8555555555555587,0.3946260522893001,-0.6728620875459976,-2.590026646212144,-0.2655289093434145,-4.002444444444444,-1.8132777777777762,0.29130185385676066,0.49975078835012005,-2.6097182184329846,1.0774901765168792,-3.89899612019888,-1.343721525153257,-1.0812873649544974,0.42708341924446447
